owner_id,owner_login,owner_name,labeled_num,assigned_num,helped_num,issue_num,labeled_ratio,assigned_ratio
8201499,david-he91,hedongdong,94,47,94,94,1,0.5
6557654,mu_rong_meng,mu_rong_meng,36,36,36,36,1,1
6510899,wmzheng2020,wmzheng2020,31,31,29,31,1,1
6576637,ms_yan,ms_yan,26,29,7,29,0.896551724,1
7366767,zhongjicheng,zhongjicheng,23,23,22,23,1,1
6557666,HidyLi,HidyLi,22,22,22,22,1,1
7497830,luopenghui,luopenghui,20,20,18,20,1,1
7875425,cooper44,yangbin,13,13,11,13,1,1
6567552,sxqxdjl,duanjiali,13,13,12,13,1,1
7873411,YeFeng_24,yefeng,0,9,2,10,0,0.9
5280992,chen_tanjie,chentanjie,9,9,9,9,1,1
7902876,feng_linfei,冯林飞,7,9,9,9,0.777777778,1
7830176,probiotics_53,XianglongZeng,0,0,0,9,0,0
9102608,chu-jibiao,chujibiao,8,8,7,8,1,1
7839615,xu_anyue,徐安越,8,8,1,8,1,1
6575126,wang_chao312,wangchao,8,8,8,8,1,1
9161602,xuebao-zhang,xuebao_zhang,7,7,6,7,1,1
7512942,tina_mengting_zhang,TinaMengtingZhang,2,1,3,7,0.285714286,0.142857143
7776907,hcc817,huchaochao,6,6,6,6,1,1
9248662,zhanglei546,zhanglei,6,6,5,6,1,1
6566965,andy_wangrui,andy_wangrui,6,6,3,6,1,1
7350758,gxiang27,gxiang27,6,6,6,6,1,1
9141144,liu-xuu,Liu_Xuu,0,5,1,6,0,0.833333333
6575152,caoruyue1,caoruyue1,5,5,5,5,1,1
6575000,zhengjun10,zhengjun10,5,3,1,5,1,0.6
7863722,lordway,lilei,5,5,5,5,1,1
9067416,zetongzhao,zetongzhao,1,4,1,5,0.2,0.8
6584634,wang_shaocong,wangshaocong,0,5,0,5,0,1
7929819,gongdaguo,gongdaguo,0,0,0,5,0,0
8735357,zhangpanting,zhangpanting,4,4,3,4,1,1
7501862,luoyang42,luoyang,2,2,0,4,0.5,0.5
6575413,gengdongjie,gengdongjie,1,3,1,4,0.25,0.75
7873541,zhaodezan,zhaodezan,0,3,0,4,0,0.75
7711582,Fazzie,QianliMa,0,0,1,4,0,0
6575400,yanghaitao1,yanghaitao,0,4,0,4,0,1
9087898,wwx1050661,一只大沙鱼,0,0,4,4,0,0
6572694,liuxiao22,huangliuxiao,3,3,3,3,1,1
8616534,shirleyzhang086,ShirleyZhang086,3,3,3,3,1,1
6574948,yangzhenzhang,yangzhenzhang,3,3,0,3,1,1
6573942,dayschan,DeshiChen,3,3,1,3,1,1
7353920,hangangqiang,hangq,2,3,1,3,0.666666667,1
6574850,irmo,huanghui,1,2,0,3,0.333333333,0.666666667
8108889,Shawny233,Shawny,0,0,1,3,0,0
6579668,liangyongxiong1024,liangyongxiong,0,3,0,3,0,1
8990305,jiaoy1224,jiaoy1224,0,0,3,3,0,0
8273927,caicai-0505,caimengping,0,0,1,3,0,0
6578529,ttudu,TuDouNi,0,1,0,3,0,0.333333333
7512194,lvmingfu,lvmingfu,0,0,0,3,0,0
7535813,gongliyao,GongLiyao,2,2,2,2,1,1
5302133,jack_leekiller,lijie,2,2,2,2,1,1
7360930,zengfy2020,zengfanyu,2,2,1,2,1,1
7342144,cathwong,cathwong,2,2,1,2,1,1
5572354,chen_si_jie,chensijie_Remzz,2,2,2,2,1,1
9612043,zhan-yang6,展杨,2,2,1,2,1,1
6575280,zhoufeng54,zhoufeng,1,1,0,2,0.5,0.5
6575118,kisnwang,kisnwang,1,1,0,2,0.5,0.5
7806233,Hilandings,Landings,0,0,1,2,0,0
8266107,huangbo77,huangbo,0,2,0,2,0,1
7951240,tiancixiao,xiaotianci,0,2,2,2,0,1
7353915,yangruoqi713,yangruoqi713,0,2,1,2,0,1
8456285,wupx99,wupx99,0,0,2,2,0,0
7353894,ling_qiao_min,ling,0,0,1,2,0,0
9453396,Sun_New_Rain,孙新雨,0,0,2,2,0,0
8071861,cyx2020,cyx,0,0,2,2,0,0
7610862,lvchangquan,lvchangquan,0,1,1,2,0,0.5
7745758,zhouyubuzhaozhong,Atlas_hrp,0,0,1,2,0,0
7345417,ch-l,Chong,0,0,2,2,0,0
5745011,xmushroom,xmushroom,0,0,2,2,0,0
7347208,wilfchen,chenweifeng,0,2,1,2,0,1
7825720,zyx5256,zhuyuxiao,0,1,2,2,0,0.5
7353923,zhanghaibo5,zhanghaibo,0,0,1,2,0,0
7347157,joylvliang,JoyLvliang,0,2,1,2,0,1
9180338,tang-yibo,汤一博,0,0,0,2,0,0
7347090,simson_wu,Simson,1,1,1,1,1,1
6557776,mindspore_boy,ms_yw,1,1,1,1,1,1
8973417,tao-qing1,陶青,1,1,1,1,1,1
7663402,liangzelang,liangzelang,1,1,0,1,1,1
1353726,yihaizhong,yihaizhong,1,0,0,1,1,0
7500020,zhanyuan1,zhanyuan,1,0,1,1,1,0
7641490,lixiachen,lixiachen,1,1,0,1,1,1
7371640,wukesong,wukesong,1,1,0,1,1,1
5644189,c_34,chenhaozhe,1,1,0,1,1,1
7353927,mengyuanli,mengyuanli,1,1,0,1,1,1
9724027,wsyadc,wsyadc,1,0,0,1,1,0
6584633,zhao_ting_v,zhaoting,1,1,1,1,1,1
6574983,liyanjun10,liyanjun,1,1,1,1,1,1
8183438,jihongtao,jihongtao,1,1,1,1,1,1
6557691,si_chasing,si_chasing,1,1,1,1,1,1
6517937,tronzhang,TronZhang,1,1,0,1,1,1
6584639,xu-yfei,徐永飞,1,1,0,1,1,1
5610463,fromvoid,kkkk,1,0,0,1,1,0
9701809,hetshah,hetshah,1,0,0,1,1,0
9195891,ye12121,ye12121,1,0,0,1,1,0
6584698,liu_xiao_93,liuxiao93,0,1,1,1,0,1
8583092,czh688,chenzhehao,0,0,1,1,0,0
8934406,hnldlydtttlxjc,hnldlydtttlxjc,0,0,1,1,0,0
9486631,lingzhifang,零糖零脂肪,0,0,1,1,0,0
9401855,Lisenning,李欣宁,0,0,1,1,0,0
7476726,xiaoyisd,xiaoyisd,0,0,1,1,0,0
8551586,hjxcoder,hjxcoder,0,0,1,1,0,0
8485664,felixcplau,felix.cplau,0,0,1,1,0,0
9613924,gdk1552405618,gdk,0,0,1,1,0,0
9121288,qingshanxiaozi163,qingshanxiaozi,0,0,1,1,0,0
7692027,dandelight,郭睿明,0,0,1,1,0,0
7820964,barry_cloud,barry-cloud,0,0,1,1,0,0
2064272,gaojing22,casgj,0,0,1,1,0,0
8359095,zuochuanyong,zuochuanyong,0,1,0,1,0,1
6574868,jojobugfree,caifubi,0,0,1,1,0,0
8515794,zeng-pengyuan,zeng pengyuan,0,0,1,1,0,0
7363368,minara,Mina,0,0,1,1,0,0
9067435,sabrinasun_59ee,sabrinasun_59ee,0,1,0,1,0,1
6584610,zhaojichen,JichenZhao,0,1,1,1,0,1
1523670,caoyy666,CaoY,0,0,1,1,0,0
6569326,ckey_dou,chengbin,0,0,1,1,0,0
7845873,ZJUTER0126,ZJUTER0126,0,0,0,1,0,0
7771048,hit_zyh,hit_zyh,0,0,0,1,0,0
8326888,sherry_lxq,ʚ吕晓倩ɞ,0,0,0,1,0,0
5625371,iambowen1984,iambowen1984,0,1,1,1,0,1
9380684,mushcat4,mushcat,0,0,0,1,0,0
1009459,EJaven,江桃人,0,0,0,1,0,0
5576194,thol,Thol,0,0,0,1,0,0
7411092,lukascao,Invincible,0,0,0,1,0,0
7710405,khazeus,Khazeus,0,0,1,1,0,0
